Category,Score,Item,Calories,Protein,Dietary Fiber,Sugars,Water,Sodium,Saturated Fat
Vegetables and Vegetable Products,10,"Peppers, hot chili, green, raw",40,2,1.5,5.1,87.74,7,0.021
Vegetables and Vegetable Products,10,"Chicory greens, raw",23,1.7,4,0.7,92,45,0.073
Vegetables and Vegetable Products,10,"Cabbage, red, raw",31,1.43,2.1,3.83,90.39,27,0.021
Vegetables and Vegetable Products,10,"Coriander (cilantro) leaves, raw",23,2.13,2.8,0.87,92.21,46,0.014
Fruits and Fruit Juices,10,"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",41,0.55,0.1,9.63,89.3,1,0.019
Vegetables and Vegetable Products,10,"Cauliflower, green, raw",31,2.95,3.2,3.03,89.79,23,0.047
Vegetables and Vegetable Products,10,"Turnip greens and turnips, frozen, cooked, boiled, drained, without salt",35,2.99,3.1,1.07,91.04,19,0.085
Fruits and Fruit Juices,10,"Melons, cantaloupe, raw",34,0.84,0.9,7.86,90.15,16,0.051
Fruits and Fruit Juices,10,"Grapefruit, raw, pink and red, all areas",42,0.77,1.6,6.89,88.06,0,0.021
Vegetables and Vegetable Products,10,"Rutabagas, raw",37,1.08,2.3,4.46,89.43,12,0.027
Fruits and Fruit Juices,10,"Tangerines, (mandarin oranges), canned, juice pack, drained",38,0.75,1.2,8.25,89.51,5,0.004
Vegetables and Vegetable Products,10,"Carrots, canned, no salt added, drained solids",25,0.64,1.5,2.48,92.95,42,0.036
Vegetables and Vegetable Products,10,"Cabbage, red, cooked, boiled, drained, without salt",29,1.51,2.6,3.32,90.84,28,0.011
Fruits and Fruit Juices,10,"Grapefruit, sections, canned, juice pack, solids and liquids",37,0.7,0.4,8.8,89.67,7,0.012
Vegetables and Vegetable Products,10,"Mushrooms, white, microwaved",35,3.91,2.5,0,88.52,17,0.06
Fruits and Fruit Juices,10,"Peaches, raw",39,0.91,1.5,8.39,88.87,0,0.019
Fruits and Fruit Juices,10,"Tangerines, (mandarin oranges), canned, juice pack",37,0.62,0.7,8.87,89.51,5,0.003
Vegetables and Vegetable Products,10,"Beans, snap, green, frozen, all styles, microwaved",40,1.98,3.4,2.6,89.93,3,0.047
Fruits and Fruit Juices,10,"Grapefruit juice, white, raw",39,0.5,0.1,9.1,90,1,0.014
Vegetables and Vegetable Products,10,"Jute, potherb, cooked, boiled, drained, without salt",37,3.68,2,1,87.15,11,0.03
Vegetables and Vegetable Products,10,"Cabbage, chinese (pak-choi), raw",13,1.5,1,1.18,95.32,65,0.027
Vegetables and Vegetable Products,10,"Onions, raw",40,1.1,1.7,4.24,89.11,4,0.042
Vegetables and Vegetable Products,10,"Onions, welsh, raw",34,1.9,2.4,2.18,90.5,17,0.067
Fruits and Fruit Juices,10,"Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)",36,0.77,1.1,7.6,89.93,7,0.023
Vegetables and Vegetable Products,10,"Mushrooms, shiitake, stir-fried",39,3.45,3.6,0.3,87.74,5,0.03
Vegetables and Vegetable Products,10,"Mushrooms, oyster, raw",33,3.31,2.3,1.11,89.18,18,0.062
Vegetables and Vegetable Products,10,"Cabbage, savoy, raw",27,2,3.1,2.27,91,28,0.013
Vegetables and Vegetable Products,10,"Peas and carrots, canned, no salt added, solids and liquids",38,2.17,3.3,2.83,88.15,4,0.049
Vegetables and Vegetable Products,10,"Squash, winter, butternut, cooked, baked, without salt",40,0.9,3.2,1.97,87.8,4,0.019
Vegetables and Vegetable Products,10,"Mushrooms, morel, raw",31,3.12,2.8,0.6,89.61,21,0.065
Vegetables and Vegetable Products,10,"Collards, raw",32,3.02,4,0.46,89.62,17,0.055
Fruits and Fruit Juices,10,"Grapefruit juice, white, canned, unsweetened",38,0.52,0.1,8.86,90.1,1,0.013
Fruits and Fruit Juices,10,"Guava sauce, cooked",36,0.32,3.6,5.88,89.56,4,0.04
Vegetables and Vegetable Products,10,"Collards, cooked, boiled, drained, without salt",33,2.71,4,0.4,90.18,15,0.047
Vegetables and Vegetable Products,10,"Broccoli, frozen, spears, cooked, boiled, drained, without salt",28,3.1,3,1.47,90.72,24,0.018
Vegetables and Vegetable Products,9,"Yambean (jicama), raw",38,0.72,4.9,1.8,90.07,4,0.021
Vegetables and Vegetable Products,9,"Beans, snap, green, frozen, all styles, unprepared",39,1.79,2.6,2.21,89.93,3,0.047
Vegetables and Vegetable Products,9,"Cress, garden, raw",32,2.6,1.1,4.4,89.4,14,0.023
Vegetables and Vegetable Products,9,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",34,3.6,1.9,1.04,88.69,13,0.032
Vegetables and Vegetable Products,9,"Turnips, frozen, cooked, boiled, drained, without salt",23,1.53,2,2.35,93.6,36,0.025
Vegetables and Vegetable Products,9,"Onions, spring or scallions (includes tops and bulb), raw",32,1.83,2.6,2.33,89.83,16,0.032
Fruits and Fruit Juices,9,"Grapefruit, sections, canned, water pack, solids and liquids",36,0.58,0.4,8.75,89.85,2,0.014
Fruits and Fruit Juices,9,"Blackberry juice, canned",38,0.3,0.1,7.7,90.9,1,0.018
Vegetables and Vegetable Products,9,"Onions, frozen, whole, unprepared",35,0.89,1.7,3.81,90.22,10,0.011
Vegetables and Vegetable Products,9,"Peppers, serrano, raw",32,1.74,3.7,3.83,90.25,10,0.059
Vegetables and Vegetable Products,9,"Beets, canned, no salt added, solids and liquids",28,0.8,1.2,5.38,91.62,21,0.011
Vegetables and Vegetable Products,9,"Cauliflower, raw",25,1.92,2,1.91,92.07,30,0.064
Vegetables and Vegetable Products,9,"Kohlrabi, cooked, boiled, drained, without salt",29,1.8,1.1,2.8,90.3,21,0.014
Vegetables and Vegetable Products,9,"Broccoli, frozen, chopped, unprepared",26,2.81,3,1.35,91.46,24,0.044
Vegetables and Vegetable Products,9,"Broccoli, frozen, spears, unprepared",29,3.06,3,1.47,90.55,17,0.052
Vegetables and Vegetable Products,9,"Kohlrabi, raw",27,1.7,3.6,2.6,91,20,0.013
Vegetables and Vegetable Products,9,"Carrots, canned, no salt added, solids and liquids",23,0.59,1.8,2.46,92.99,34,0.024
Vegetables and Vegetable Products,9,"Broccoli raab, raw",22,3.17,2.7,0.38,92.55,33,0.05
Vegetables and Vegetable Products,9,"Arugula, raw",25,2.58,1.6,2.05,91.71,27,0.086
Vegetables and Vegetable Products,9,"Kale, cooked, boiled, drained, without salt",28,1.9,2,1.25,91.2,23,0.052
Vegetables and Vegetable Products,9,"Squash, winter, all varieties, cooked, baked, without salt",37,0.89,2.8,3.3,89.21,1,0.072
Vegetables and Vegetable Products,9,"Squash, winter, spaghetti, raw",31,0.64,1.5,2.76,91.6,17,0.117
Vegetables and Vegetable Products,9,"Mustard greens, raw",27,2.86,3.2,1.32,90.7,20,0.01
Vegetables and Vegetable Products,9,"Mushrooms, enoki, raw",37,2.66,2.7,0.22,88.34,3,0.02
Vegetables and Vegetable Products,9,"Turnip greens, frozen, cooked, boiled, drained, without salt",29,3.35,3.4,0.75,90.4,15,0.099
Vegetables and Vegetable Products,9,"Pumpkin, canned, without salt",34,1.1,2.9,3.3,89.97,5,0.146
Vegetables and Vegetable Products,9,"Kale, frozen, cooked, boiled, drained, without salt",30,2.84,2,1.34,90.5,15,0.063
Vegetables and Vegetable Products,9,"Beans, snap, yellow, cooked, boiled, drained, without salt",35,1.89,3.3,1.55,89.22,3,0.062
Vegetables and Vegetable Products,9,"Okra, raw",33,1.93,3.2,1.48,89.58,7,0.026
Fruits and Fruit Juices,9,"Strawberries, frozen, unsweetened",35,0.43,2.1,4.56,89.97,2,0.006
Fruits and Fruit Juices,9,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",32,0.42,1,7.51,90.76,4,0.006
Vegetables and Vegetable Products,9,"Cauliflower, frozen, unprepared",24,2.01,2.3,2.22,92.51,24,0.041
Vegetables and Vegetable Products,8,"Mushrooms, portabella, grilled",29,3.28,2.2,2.26,90.66,11,0.079
Vegetables and Vegetable Products,8,"Mushrooms, portabella, exposed to ultraviolet light, grilled",29,3.28,2.2,2.26,90.66,11,0.067
Vegetables and Vegetable Products,8,"Onions, young green, tops only",27,0.97,1.8,4.95,92.32,15,0.087
Vegetables and Vegetable Products,8,"Beans, snap, green, cooked, boiled, drained, without salt",35,1.89,3.2,1.55,89.22,1,0.062
Fruits and Fruit Juices,8,"Grapefruit, raw, white, all areas",33,0.69,1.1,7.31,90.48,0,0.014
Vegetables and Vegetable Products,8,"Eggplant, cooked, boiled, drained, without salt",35,0.83,2.5,3.2,89.67,1,0.044
Vegetables and Vegetable Products,8,"Mung beans, mature seeds, sprouted, raw",30,3.04,1.8,4.13,90.4,6,0.046
Vegetables and Vegetable Products,8,"Beans, snap, green, raw",31,1.83,2.7,3.26,90.32,6,0.05
Vegetables and Vegetable Products,8,"Tomato sauce, canned, no salt added",29,1.32,1.5,4.25,91.12,11,0.028
Fruits and Fruit Juices,8,"Pineapple, canned, water pack, solids and liquids",32,0.43,0.8,7.5,90.82,1,0.006
Vegetables and Vegetable Products,8,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",28,3.1,3,1.47,90.72,11,0.018
Vegetables and Vegetable Products,8,"Cabbage, raw",25,1.28,2.5,3.2,92.18,18,0.034
Fruits and Fruit Juices,8,"Grapefruit, raw, pink and red and white, all areas",32,0.63,1.1,6.98,90.89,0,0.014
Vegetables and Vegetable Products,8,"Squash, winter, all varieties, raw",34,0.95,1.5,2.2,89.76,4,0.027
Vegetables and Vegetable Products,8,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",27,0.66,1.4,2.53,92.3,18,0.062
Vegetables and Vegetable Products,8,"Pepper, banana, raw",27,1.66,3.4,1.95,91.81,13,0.048
Vegetables and Vegetable Products,8,"Peppers, sweet, red, raw",31,0.99,2.1,4.2,92.21,4,0.027
Fruits and Fruit Juices,8,"Melons, casaba, raw",28,1.11,0.9,5.69,91.85,9,0.025
Fruits and Fruit Juices,8,"Strawberries, raw",32,0.67,2,4.89,90.95,1,0.015
Vegetables and Vegetable Products,8,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",31,0.81,1,2.11,90.8,10,0.027
Vegetables and Vegetable Products,8,"Squash, winter, hubbard, cooked, boiled, mashed, without salt",30,1.48,2.9,2.93,91.1,5,0.076
Fruits and Fruit Juices,8,"Carambola, (starfruit), raw",31,1.04,2.8,3.98,91.38,2,0.019
Vegetables and Vegetable Products,8,"Turnip greens, cooked, boiled, drained, without salt",20,1.14,3.5,0.53,93.2,29,0.053
Vegetables and Vegetable Products,8,"Radishes, raw",16,0.68,1.6,1.86,95.27,39,0.032
Vegetables and Vegetable Products,8,"Onions, frozen, chopped, cooked, boiled, drained, without salt",28,0.77,1.8,2.9,92.24,12,0.016
Vegetables and Vegetable Products,8,"Tomatillos, raw",32,0.96,1.9,3.93,91.63,1,0.139
Vegetables and Vegetable Products,8,"Rutabagas, cooked, boiled, drained, without salt",30,0.93,1.8,3.95,91.54,5,0.029
Vegetables and Vegetable Products,8,"Chives, raw",30,3.27,2.5,1.85,90.65,3,0.146
Vegetables and Vegetable Products,8,"Okra, frozen, unprepared",30,1.69,2.2,2.97,90.82,3,0.065
Vegetables and Vegetable Products,8,"Peppers, jalapeno, raw",29,0.91,2.8,4.12,91.69,3,0.092
Vegetables and Vegetable Products,8,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",28,1.49,3,1.23,91.42,9,0.042
Vegetables and Vegetable Products,8,"Mushrooms, maitake, raw",31,1.94,2.7,2.07,90.37,1,0.03
Fruits and Fruit Juices,8,"Pears, canned, water pack, solids and liquids",29,0.19,1.6,6.1,91.81,2,0.002
Fruits and Fruit Juices,8,"Watermelon, raw",30,0.61,0.4,6.2,91.45,1,0.016
Vegetables and Vegetable Products,7,"Mushrooms, white, stir-fried",26,3.58,1.8,0,91.1,12,0.04
Vegetables and Vegetable Products,7,"Okra, frozen, cooked, boiled, drained, without salt",29,1.63,2.1,2.87,91.12,3,0.063
Vegetables and Vegetable Products,7,"Onions, frozen, whole, cooked, boiled, drained, without salt",28,0.71,1.4,2.9,92.24,8,0.009
Vegetables and Vegetable Products,7,"Radicchio, raw",23,1.43,0.9,0.6,93.14,22,0.06
Vegetables and Vegetable Products,7,"Mustard greens, frozen, cooked, boiled, drained, without salt",19,2.27,2.8,0.32,93.8,25,0.013
Vegetables and Vegetable Products,7,"Bamboo shoots, raw",27,2.6,2.2,3,91,4,0.069
Vegetables and Vegetable Products,7,"Cauliflower, cooked, boiled, drained, without salt",23,1.84,2.3,2.08,93,15,0.07
Vegetables and Vegetable Products,7,"Turnip greens, canned, no salt added",19,1.36,1.3,0.42,94.69,29,0.07
Vegetables and Vegetable Products,7,"Mustard greens, cooked, boiled, drained, without salt",26,2.56,2,1.41,91.78,9,0.012
Fruits and Fruit Juices,7,"Lemons, raw, without peel",29,1.1,2.8,2.5,88.98,2,0.039
Fruits and Fruit Juices,7,"Limes, raw",30,0.7,2.8,1.69,88.26,2,0.022
Vegetables and Vegetable Products,7,"Tomatoes, green, raw",23,1.2,1.1,4,93,13,0.028
Vegetables and Vegetable Products,7,"Mushrooms, white, cooked, boiled, drained, without salt",28,2.17,2.2,2.34,91.08,2,0.061
Vegetables and Vegetable Products,7,"Pimento, canned",23,1.1,1.9,2.71,93.1,14,0.045
Vegetables and Vegetable Products,7,"Turnips, cooked, boiled, drained, without salt",22,0.71,2,2.99,93.6,16,0.008
Fruits and Fruit Juices,7,"Apricots, canned, water pack, with skin, solids and liquids",27,0.71,1.6,4.79,92.36,3,0.011
Vegetables and Vegetable Products,7,"Peppers, sweet, red, cooked, boiled, drained, without salt",28,0.92,1.2,4.39,91.87,2,0.029
Vegetables and Vegetable Products,7,"Peppers, hungarian, raw",29,0.8,1,3.53,91.51,1,0.046
Vegetables and Vegetable Products,7,"Asparagus, cooked, boiled, drained",22,2.4,2,1.3,92.63,14,0.048
Fruits and Fruit Juices,7,"Lemon juice, canned or bottled",21,0.4,0.4,2.4,92.46,21,0.038
Vegetables and Vegetable Products,7,"Watercress, raw",11,2.3,0.5,0.2,95.11,41,0.027
Vegetables and Vegetable Products,7,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",20,2.3,1.5,1.6,92.9,18,0.092
Vegetables and Vegetable Products,7,"Peppers, sweet, green, cooked, boiled, drained, without salt",28,0.92,1.2,3.19,91.87,2,0.029
Vegetables and Vegetable Products,7,"Beans, snap, green, frozen, cooked, boiled, drained without salt",28,1.49,3,1.23,91.42,1,0.042
Vegetables and Vegetable Products,7,"Eggplant, raw",25,0.98,3,3.53,92.3,2,0.034
Vegetables and Vegetable Products,7,"Cauliflower, frozen, cooked, boiled, drained, without salt",19,1.61,2.7,1.05,94,18,0.034
Vegetables and Vegetable Products,7,"Radishes, oriental, raw",18,0.6,1.6,2.5,94.62,21,0.03
Vegetables and Vegetable Products,7,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",25,1.28,1.4,2.33,92.24,6,0.04
Vegetables and Vegetable Products,7,"Cabbage, cooked, boiled, drained, without salt",23,1.27,1.9,2.79,92.57,8,0
Vegetables and Vegetable Products,7,"Cress, garden, cooked, boiled, drained, without salt",23,1.9,0.7,3.11,92.5,8,0.02
Vegetables and Vegetable Products,7,"Endive, raw",17,1.25,3.1,0.25,93.79,22,0.048
Vegetables and Vegetable Products,6,"Lettuce, green leaf, raw",15,1.36,1.3,0.78,94.98,28,0.02
Vegetables and Vegetable Products,6,"Mushrooms, portabella, raw",22,2.11,1.3,2.5,92.82,9,0.06
Vegetables and Vegetable Products,6,"Mushrooms, portabella, exposed to ultraviolet light, raw",22,2.11,1.3,2.5,92.82,9,0.06
Vegetables and Vegetable Products,6,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",12,1.56,1,0.83,95.55,34,0.021
Vegetables and Vegetable Products,6,"Alfalfa seeds, sprouted, raw",23,3.99,1.9,0.18,92.82,6,0.069
Fruits and Fruit Juices,6,"Peaches, canned, water pack, solids and liquids",24,0.44,1.3,4.81,93.13,3,0.006
Vegetables and Vegetable Products,6,"Seaweed, agar, raw",26,0.54,0.5,0.28,91.32,9,0.006
Vegetables and Vegetable Products,6,"Asparagus, canned, no salt added, solids and liquids",15,1.8,1,1,94.32,26,0.041
Vegetables and Vegetable Products,6,"Okra, cooked, boiled, drained, without salt",22,1.87,2.5,2.4,92.57,6,0.045
Vegetables and Vegetable Products,6,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",21,2.03,0.8,2.84,93.39,10,0.025
Vegetables and Vegetable Products,6,"Nopales, raw",16,1.32,2.2,1.15,94.12,21,0.016
Vegetables and Vegetable Products,6,"Pumpkin leaves, cooked, boiled, drained, without salt",21,2.72,2.7,0.69,92.51,8,0.114
Fruits and Fruit Juices,6,"Lime juice, canned or bottled, unsweetened",21,0.25,0.4,1.37,92.52,16,0.026
Vegetables and Vegetable Products,6,"Pumpkin, raw",26,1,0.5,2.76,91.6,1,0.052
Vegetables and Vegetable Products,6,"Pickles, cucumber, dill, low sodium",18,0.62,1.2,1.92,91.67,18,0.05
Vegetables and Vegetable Products,6,"Mushrooms, white, raw",22,3.09,1,1.98,92.45,5,0.05
Vegetables and Vegetable Products,6,"Broccoli, chinese, cooked",22,1.14,2.5,0.84,93.54,7,0.11
Vegetables and Vegetable Products,6,"Mushrooms, brown, Italian, or Crimini, raw",22,2.5,0.6,1.72,92.12,6,0.014
Vegetables and Vegetable Products,6,"Nopales, cooked, without salt",15,1.35,2,1.12,94.31,20,0.006
Fruits and Fruit Juices,6,"Lime juice, raw",25,0.42,0.4,1.69,90.79,2,0.008
Vegetables and Vegetable Products,6,"Peppers, sweet, red, frozen, chopped, unprepared",20,1.08,1.6,3.26,93.96,5,0.031
Vegetables and Vegetable Products,6,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",23,1.04,1.1,2.48,94.25,1,0.064
Vegetables and Vegetable Products,6,"Tomatoes, red, ripe, cooked",18,0.95,0.7,2.49,94.34,11,0.015
Vegetables and Vegetable Products,6,"Radishes, oriental, cooked, boiled, drained, without salt",17,0.67,1.6,1.83,95.04,13,0.073
Vegetables and Vegetable Products,6,"Bamboo shoots, canned, drained solids",19,1.72,1.4,1.89,94.32,7,0.092
Vegetables and Vegetable Products,5,"Asparagus, raw",20,2.2,2.1,1.88,93.22,2,0.04
Vegetables and Vegetable Products,5,"Beans, snap, green, canned, no salt added, drained solids",21,1.26,2.5,1.31,93.12,2,0.085
Fruits and Fruit Juices,5,"Rhubarb, raw",21,0.9,1.8,1.1,93.61,4,0.053
Vegetables and Vegetable Products,5,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",19,0.84,2,1.95,93.95,6,0.014
Vegetables and Vegetable Products,5,"Tomato juice, canned, without salt added",17,0.76,0.4,3.56,93.9,10,0.008
Vegetables and Vegetable Products,5,"Peppers, sweet, green, raw",20,0.86,1.7,2.4,93.89,3,0.058
Vegetables and Vegetable Products,5,"Tomatoes, red, ripe, canned, packed in tomato juice, no salt added",17,0.78,1,2.38,94.28,10,0.018
Vegetables and Vegetable Products,5,"Gourd, dishcloth (towelgourd), raw",20,1.2,1.1,2.02,93.85,3,0.016
Fruits and Fruit Juices,5,"Lemon juice, frozen, unsweetened, single strength",22,0.46,0.4,2.4,92.39,1,0.043
Vegetables and Vegetable Products,5,"Squash, summer, zucchini, includes skin, raw",17,1.21,1,2.5,94.79,8,0.084
Fruits and Fruit Juices,5,"Lemon juice, raw",22,0.35,0.3,2.52,92.31,1,0.04
Vegetables and Vegetable Products,5,"Squash, summer, crookneck and straightneck, raw",19,1.01,1,3.53,94.28,2,0.093
Vegetables and Vegetable Products,5,"Lettuce, cos or romaine, raw",17,1.23,2.1,1.19,94.61,8,0.039
Fruits and Fruit Juices,5,"Rhubarb, frozen, uncooked",21,0.55,1.8,1.1,93.51,2,0.029
Vegetables and Vegetable Products,5,"Squash, summer, all varieties, cooked, boiled, drained, without salt",20,0.91,1.4,2.59,93.7,1,0.064
Vegetables and Vegetable Products,5,"Tomatoes, red, ripe, raw, year round average",18,0.88,1.2,2.63,94.52,5,0.028
Vegetables and Vegetable Products,5,"Beans, snap, yellow, canned, no salt added, drained solids",20,1.15,1.3,0.96,93.3,2,0.022
Vegetables and Vegetable Products,5,"Pumpkin, cooked, boiled, drained, without salt",20,0.72,1.1,2.08,93.69,1,0.037
Vegetables and Vegetable Products,5,"Asparagus, frozen, cooked, boiled, drained, without salt",18,2.95,1.6,0.32,94.1,3,0.096
Vegetables and Vegetable Products,5,"Cabbage, chinese (pe-tsai), raw",16,1.2,1.2,1.41,94.39,9,0.043
Vegetables and Vegetable Products,5,"Chayote, fruit, raw",19,0.82,1.7,1.66,94.24,2,0.028
Vegetables and Vegetable Products,5,"Squash, summer, scallop, raw",18,1.2,1.2,2.39,94.18,1,0.041
Vegetables and Vegetable Products,5,"Lettuce, iceberg (includes crisphead types), raw",14,0.9,1.2,1.97,95.64,10,0.018
Vegetables and Vegetable Products,5,"Peppers, sweet, red, frozen, chopped, boiled, drained, without salt",16,0.95,0.8,2.86,94.7,4,0.027
Vegetables and Vegetable Products,5,"Pickles, cucumber, sour, low sodium",11,0.33,1.2,1.06,94.08,18,0.052
Vegetables and Vegetable Products,4,"Pumpkin flowers, cooked, boiled, drained, without salt",15,1.09,0.9,2.4,95.2,6,0.041
Vegetables and Vegetable Products,4,"Squash, summer, zucchini, includes skin, frozen, unprepared",17,1.16,1.3,1.71,94.7,2,0.027
Vegetables and Vegetable Products,4,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",17,1.15,1.3,1.69,94.74,2,0.027
Vegetables and Vegetable Products,4,"Squash, summer, all varieties, raw",16,1.21,1.1,2.2,94.64,2,0.044
Vegetables and Vegetable Products,4,"Squash, summer, scallop, cooked, boiled, drained, without salt",16,1.03,1.9,1.5,95,1,0.035
Vegetables and Vegetable Products,4,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",15,1.14,1,1.71,95.22,3,0.072
Vegetables and Vegetable Products,4,"Lettuce, butterhead (includes boston and bibb types), raw",13,1.35,1.1,0.94,95.63,5,0.029
Vegetables and Vegetable Products,4,"Cucumber, with peel, raw",15,0.65,0.5,1.67,95.23,2,0.037
Vegetables and Vegetable Products,4,"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",13,0.61,1.4,1.19,96.04,5,0.015
Vegetables and Vegetable Products,3,"Cucumber, peeled, raw",12,0.59,0.7,1.38,96.73,2,0.013
Fruits and Fruit Juices,,"Apples, dehydrated (low moisture), sulfured, stewed",74,0.28,2.6,,79.36,26,0.02
Fruits and Fruit Juices,,"Apples, dried, sulfured, stewed, with added sugar",83,0.2,1.9,,78.76,19,0.011
Fruits and Fruit Juices,,"Apples, frozen, unsweetened, unheated",48,0.28,1.3,,86.85,3,0.053
Fruits and Fruit Juices,,"Apples, frozen, unsweetened, heated",47,0.29,1.3,,87.16,3,0.053
Fruits and Fruit Juices,,"Apricots, canned, water pack, without skin, solids and liquids",22,0.69,1.1,,93.43,11,0.002
Fruits and Fruit Juices,,"Apricots, canned, extra light syrup pack, with skin, solids and liquids",49,0.6,1.6,,86.3,2,0.007
Fruits and Fruit Juices,,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",83,0.51,1.6,,77.66,11,0.006
Fruits and Fruit Juices,,"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",96,0.55,1.6,,74.33,13,0.003
Fruits and Fruit Juices,,"Apricots, dehydrated (low-moisture), sulfured, uncooked",320,4.9,,,7.5,13,0.043
Fruits and Fruit Juices,,"Apricots, dehydrated (low-moisture), sulfured, stewed",126,1.93,,,63.6,5,0.017
Fruits and Fruit Juices,,"Apricots, dried, sulfured, stewed, with added sugar",113,1.17,4.1,,68.45,3,0.01
Fruits and Fruit Juices,,"Apricots, frozen, sweetened",98,0.7,2.2,,73.3,4,0.007
Fruits and Fruit Juices,,"Boysenberries, canned, heavy syrup",88,0.99,2.6,,76.26,3,0.004
Fruits and Fruit Juices,,"Carissa, (natal-plum), raw",62,0.5,,,84.17,3,
Fruits and Fruit Juices,,"Cherries, sour, red, canned, light syrup pack, solids and liquids",75,0.74,0.8,,79.62,7,0.022
Fruits and Fruit Juices,,"Cherries, sour, red, canned, extra heavy syrup pack, solids and liquids",114,0.71,0.8,,69.73,7,0.021
Fruits and Fruit Juices,,"Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",102,0.59,1.5,,72.66,3,0.033
Fruits and Fruit Juices,,"Crabapples, raw",76,0.4,,,78.94,1,0.048
Fruits and Fruit Juices,,"Cranberry-orange relish, canned",178,0.3,0,,53.2,32,0.012
Fruits and Fruit Juices,,"Currants, european black, raw",63,1.4,,,81.96,2,0.034
Fruits and Fruit Juices,,"Custard-apple, (bullock's-heart), raw",101,1.7,2.4,,71.5,4,0.231
Fruits and Fruit Juices,,"Elderberries, raw",73,0.66,7,,79.8,6,0.023
Fruits and Fruit Juices,,"Figs, canned, extra heavy syrup pack, solids and liquids",107,0.38,,,71.39,1,0.02
Fruits and Fruit Juices,,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",45,0.4,1.1,,87.7,4,0.01
Fruits and Fruit Juices,,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids",88,0.39,1.1,,76.43,6,0.01
Fruits and Fruit Juices,,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",30,0.35,1,,91.5,3,0.009
Fruits and Fruit Juices,,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",50,0.51,1,,86.15,5,0.004
Fruits and Fruit Juices,,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids",58,0.34,1,,84.24,6,0.009
Fruits and Fruit Juices,,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",88,0.33,1,,76.64,5,0.009
Fruits and Fruit Juices,,"Gooseberries, raw",44,0.88,4.3,,87.87,1,0.038
Fruits and Fruit Juices,,"Gooseberries, canned, light syrup pack, solids and liquids",73,0.65,2.4,,80.1,2,0.013
Fruits and Fruit Juices,,"Grapefruit, raw, pink and red, California and Arizona",37,0.5,,,89.31,1,0.014
Fruits and Fruit Juices,,"Grapefruit, raw, pink and red, Florida",30,0.55,1.1,,91.56,0,0.014
Fruits and Fruit Juices,,"Grapefruit, raw, white, California",37,0.88,,,89.58,0,0.014
Fruits and Fruit Juices,,"Grapefruit, raw, white, Florida",32,0.63,,,90.76,0,0.014
Fruits and Fruit Juices,,"Groundcherries, (cape-gooseberries or poha), raw",53,1.9,,,85.4,,
Fruits and Fruit Juices,,"Guavas, strawberry, raw",69,0.58,5.4,,80.66,37,0.172
Fruits and Fruit Juices,,"Java-plum, (jambolan), raw",60,0.72,,,83.13,14,
Fruits and Fruit Juices,,"Jujube, raw",79,1.2,,,77.86,3,
Fruits and Fruit Juices,,"Jujube, dried",287,3.7,,,19.7,9,
Fruits and Fruit Juices,,"Longans, raw",60,1.31,1.1,,82.75,0,
Fruits and Fruit Juices,,"Longans, dried",286,4.9,,,17.6,48,
Fruits and Fruit Juices,,"Loquats, raw",47,0.43,1.7,,86.73,1,0.04
Fruits and Fruit Juices,,"Mammy-apple, (mamey), raw",51,0.5,3,,86.2,15,0.136
Fruits and Fruit Juices,,"Mangosteen, canned, syrup pack",73,0.41,1.8,,80.94,7,
Fruits and Fruit Juices,,"Melon balls, frozen",33,0.84,0.7,,90.26,31,0.064
Fruits and Fruit Juices,,"Oheloberries, raw",28,0.38,,,92.3,1,
