Category,Score,Item,Calories,Protein,Dietary Fiber,Sugars,Water,Sodium,Saturated Fat
Vegetables and Vegetable Products,31,"Taro, cooked, without salt",142,0.52,5.1,0.49,63.8,15,0.023
Fruits and Fruit Juices,31,"Sapote, mamey, raw",124,1.45,5.4,20.14,64.87,7,0.169
Vegetables and Vegetable Products,31,"Pigeonpeas, immature seeds, raw",136,7.2,5.1,3,65.88,5,0.354
Vegetables and Vegetable Products,31,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",132,8.49,6.4,4.46,66.1,5,0.175
Vegetables and Vegetable Products,31,"Beet greens, cooked, boiled, drained, without salt",27,2.57,2.9,0.6,89.13,241,0.031
Vegetables and Vegetable Products,31,"Beans, snap, green, canned, regular pack, drained solids",25,1.26,2.5,1.31,93.12,246,0.085
Vegetables and Vegetable Products,31,"USDA Commodity, Potato wedges, frozen",123,2.7,2,0.3,68.3,49,0.55
Vegetables and Vegetable Products,30,"Peppers, sweet, red, sauteed",133,1.04,1.8,4.28,78.95,21,1.557
Vegetables and Vegetable Products,30,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",103,6.07,5.8,1.34,72.98,69,0.078
Vegetables and Vegetable Products,30,"Carrots, canned, regular pack, drained solids",25,0.64,1.5,2.48,92.95,242,0.036
Vegetables and Vegetable Products,30,"Beans, snap, yellow, canned, regular pack, drained solids",20,1.15,1.3,0.96,93.3,251,0.022
Vegetables and Vegetable Products,30,"Lima beans, immature seeds, frozen, fordhook, unprepared",106,6.4,5.5,1.39,72.05,58,0.081
Vegetables and Vegetable Products,30,"Carrots, canned, regular pack, solids and liquids",23,0.58,1.8,2.46,92.99,240,0.025
Vegetables and Vegetable Products,30,"Sweet potato, canned, mashed",101,1.98,1.7,5.45,73.88,75,0.041
Fruits and Fruit Juices,30,"Rhubarb, frozen, cooked, with sugar",116,0.39,2,28.7,67.79,1,0.014
Vegetables and Vegetable Products,29,"Peas, green, frozen, unprepared",77,5.22,4.5,5,79.98,108,0.066
Vegetables and Vegetable Products,29,"Lima beans, immature seeds, cooked, boiled, drained, without salt",123,6.81,5.3,1.63,67.17,17,0.073
Vegetables and Vegetable Products,29,"Edamame, frozen, prepared",122,10.88,5.2,2.18,72.77,6,0.62
Vegetables and Vegetable Products,29,"Palm hearts, raw",115,2.7,1.5,17.16,69.5,14,0.046
Fruits and Fruit Juices,29,"Plantains, raw",122,1.3,2.3,15,65.28,4,0.143
